OMIA:OMIA_id	phene_name
OMIA:001081	Muscular dystrophy, Duchenne type
OMIA:000770	Tremor, X-linked
OMIA:000664	Mucopolysaccharidosis I
OMIA:001106	Axonopathy
OMIA:000625	Mannosidosis, alpha
OMIA:000156	C8 deficiency
OMIA:000155	C3 deficiency
OMIA:000194	Citrullinaemia
OMIA:000017	Adrenal hyperplasia, congenital
OMIA:000262	Deficiency of uridine monophosphate synthase
OMIA:000328	Ehlers-Danlos syndrome, type VII (Dermatosparaxis)
OMIA:000328	Ehlers-Danlos syndrome, type VII (Dermatosparaxis)
OMIA:000309	Dwarfism, sex-linked
OMIA:000424	Goitre, familial
OMIA:000424	Goitre, familial
OMIA:001112	Nephritis, X-linked
OMIA:000438	Haemophilia B
OMIA:000438	Haemophilia B
OMIA:000437	Haemophilia A
OMIA:000452	Henny feathering
OMIA:000785	Periodic paralysis II
OMIA:000001	Abortion due to mutation in APAF1
OMIA:000031	Alopecia, colour mutant
OMIA:000042	Analphalipoproteinaemia
OMIA:000059	Arachnomelia, BTA5
OMIA:000078	Ataxia, cerebellar
OMIA:000102	Barring
OMIA:000119	Blood group system AB
OMIA:000151	Brachyspina
OMIA:000975	Tail, short
OMIA:000161	Cardiomyopathy and woolly haircoat syndrome
OMIA:000162	Cardiomyopathy, dilated
OMIA:000162	Cardiomyopathy, dilated
OMIA:000162	Cardiomyopathy, dilated
OMIA:000168	Cataract
OMIA:000175	Cerebellar abiotrophy
OMIA:000185	Chediak-Higashi syndrome
OMIA:000187	Chondrodysplasia
OMIA:000187	Chondrodysplasia
OMIA:000201	Coat colour, agouti
OMIA:000202	Coat colour, albinism
OMIA:000202	Coat colour, albinism
OMIA:000202	Coat colour, albinism
OMIA:000211	Coat colour, merle
OMIA:000218	Collie eye anomaly
OMIA:000220	Severe combined immunodeficiency disease, autosomal
OMIA:000248	Neutropenia, cyclic
OMIA:000256	Cystinuria, type A
OMIA:000263	Degenerative myelopathy
OMIA:000272	Dermoid sinus
OMIA:000307	Dwarfism, pituitary
OMIA:000340	Epidermolysis bullosa
OMIA:000344	Epilepsy
OMIA:000361	Factor VII deficiency
OMIA:000363	Factor XI deficiency
OMIA:000363	Factor XI deficiency
OMIA:000369	Feather colour, albinism
OMIA:000370	Feather colour, albinism, sex-linked, imperfect
OMIA:000373	Feather colour, dominant white
OMIA:000380	Feathering, Z-linked
OMIA:000383	Fecundity, Booroola
OMIA:000384	Fecundity, Cambridge
OMIA:000385	Fecundity, Iceland (Thoka)
OMIA:000386	Fecundity, Inverdale
OMIA:000396	Fucosidosis, alpha
OMIA:000402	Gangliosidosis, GM1
OMIA:000402	Gangliosidosis, GM1
OMIA:000402	Gangliosidosis, GM1
OMIA:000405	Gaucher disease, type I
OMIA:000418	Glycogen storage disease I
OMIA:000419	Glycogen storage disease II
OMIA:000420	Glycogen storage disease IV
OMIA:000421	Glycogen storage disease VII
OMIA:000439	Hair length
OMIA:000483	Horns/Polled
OMIA:000483	Horns/Polled
OMIA:000483	Horns/Polled
OMIA:000499	Hypercholesterolaemia
OMIA:000515	Cardiomyopathy, hypertrophic
OMIA:000536	Hypothyroidism
OMIA:000536	Hypothyroidism
OMIA:000540	Hypotrichosis
OMIA:000540	Hypotrichosis
OMIA:000543	Anhidrotic ectodermal dysplasia
OMIA:000547	Ichthyosis congenita
OMIA:000565	Intestinal cobalamin malabsorption
OMIA:000375	Feather colour, panda/dotted white
OMIA:000545	Hypotrophic axonopathy
OMIA:000578	Krabbe disease
OMIA:000588	Lens luxation
OMIA:000593	Acrodermatitis enteropathica
OMIA:000595	Leukocyte adhesion deficiency, type I
OMIA:000595	Leukocyte adhesion deficiency, type I
OMIA:000620	Histiocytosis, malignant
OMIA:000621	Malignant hyperthermia
OMIA:000621	Malignant hyperthermia
OMIA:000621	Malignant hyperthermia
OMIA:000625	Mannosidosis, alpha
OMIA:000626	Mannosidosis, beta
OMIA:000626	Mannosidosis, beta
OMIA:000627	Maple syrup urine disease
OMIA:000628	Marfan syndrome
OMIA:001085	Meat quality (Rendement Napole)
