gene_symbol	ncbi_gene_id	OMIA_id	ncbi_tax_id	OMIA_url	phene_name
DMD	100750243	001081	9685	http://omia.angis.org.au/OMIA001081/9685/	Muscular dystrophy, Duchenne type
PLP1	100009169	000770	9986	http://omia.angis.org.au/OMIA000770/9986/	Tremor, X-linked
FGFRL1	100505382	000664	9615	http://omia.angis.org.au/OMIA000664/9615/	Mucopolysaccharidosis I
MFN2	534574	001106	9913	http://omia.angis.org.au/OMIA001106/9913/	Axonopathy
MAN2B1	282272	000625	9913	http://omia.angis.org.au/OMIA000625/9913/	Mannosidosis, alpha
C8A	100009076	000156	9986	http://omia.angis.org.au/OMIA000156/9986/	C8 deficiency
C3	476728	000155	9615	http://omia.angis.org.au/OMIA000155/9615/	C3 deficiency
ASS1	280726	000194	9913	http://omia.angis.org.au/OMIA000194/9913/	Citrullinaemia
CYP11A1	100345737	000017	9986	http://omia.angis.org.au/OMIA000017/9986/	Adrenal hyperplasia, congenital
UMPS	281568	000262	9913	http://omia.angis.org.au/OMIA000262/9913/	Deficiency of uridine monophosphate synthase
ADAMTS2	282401	000328	9913	http://omia.angis.org.au/OMIA000328/9913/	Ehlers-Danlos syndrome, type VII (Dermatosparaxis)
ADAMTS2	None	000328	9940	http://omia.angis.org.au/OMIA000328/9940/	Ehlers-Danlos syndrome, type VII (Dermatosparaxis)
SPP2	396080	000309	9031	http://omia.angis.org.au/OMIA000309/9031/	Dwarfism, sex-linked
TG	280706	000424	9913	http://omia.angis.org.au/OMIA000424/9913/	Goitre, familial
TG	100750237	000424	9925	http://omia.angis.org.au/OMIA000424/9925/	Goitre, familial
COL4A5	403466	001112	9615	http://omia.angis.org.au/OMIA001112/9615/	Nephritis, X-linked
F9	493973	000438	9685	http://omia.angis.org.au/OMIA000438/9685/	Haemophilia B
F9	404015	000438	9615	http://omia.angis.org.au/OMIA000438/9615/	Haemophilia B
F8	403875	000437	9615	http://omia.angis.org.au/OMIA000437/9615/	Haemophilia A
CYP19A1	414854	000452	9031	http://omia.angis.org.au/OMIA000452/9031/	Henny feathering
SCN4A	100049793	000785	9796	http://omia.angis.org.au/OMIA000785/9796/	Periodic paralysis II
APAF1	537782	000001	9913	http://omia.angis.org.au/OMIA000001/9913/	Abortion due to mutation in APAF1
MLPH	607077	000031	9615	http://omia.angis.org.au/OMIA000031/9615/	Alopecia, colour mutant
ABCA1	373945	000042	9031	http://omia.angis.org.au/OMIA000042/9031/	Analphalipoproteinaemia
SUOX	509837	000059	9913	http://omia.angis.org.au/OMIA000059/9913/	Arachnomelia, BTA5
GRM1	484024	000078	9615	http://omia.angis.org.au/OMIA000078/9615/	Ataxia, cerebellar
CDKN2B	395076	000102	9031	http://omia.angis.org.au/OMIA000102/9031/	Barring
CMAH	100750220	000119	9685	http://omia.angis.org.au/OMIA000119/9685/	Blood group system AB
FANCI	522442	000151	9913	http://omia.angis.org.au/OMIA000151/9913/	Brachyspina
T	403653	000975	9615	http://omia.angis.org.au/OMIA000975/9615/	Tail, short
PPP1R13L	505818	000161	9913	http://omia.angis.org.au/OMIA000161/9913/	Cardiomyopathy and woolly haircoat syndrome
